REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	COMPARTMENT	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE	GENES
s_0934	isobutanol	mitochondrion	3.2431	0.00059116	3	15	0	Seq_1427,Seq_4855,Seq_5413
s_0939	isobutyraldehyde	mitochondrion	3.2431	0.00059116	3	15	0	Seq_1427,Seq_4855,Seq_5413
s_0989	L-glucitol	cytoplasm	3.2431	0.00059116	3	15	0	Seq_1183,Seq_2189,Seq_4936
s_1211	NADP(+)	peroxisome	3.2431	0.00059116	3	15	0	Seq_4931,Seq_5178,Seq_4932
s_1215	NADPH	peroxisome	3.2431	0.00059116	3	15	0	Seq_4931,Seq_5178,Seq_4932
s_1320	phenylacetaldehyde	mitochondrion	3.2431	0.00059116	3	15	0	Seq_1427,Seq_4855,Seq_5413
s_1531	tryptophol	mitochondrion	3.2431	0.00059116	3	15	0	Seq_1427,Seq_4855,Seq_5413
s_1030	L-methionine	extracellular	3.2146	0.00065306	7	10.2877	7.3222	Seq_21,Seq_2112,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0578	D-xylose	cytoplasm	3.1926	0.00070507	7	10.2288	8.1485	Seq_1183,Seq_2193,Seq_2026,Seq_4936,Seq_3482,Seq_4254,Seq_3104
s_0666	ergosterol	cytoplasm	3.1919	0.00070669	5	11.8213	7.1079	Seq_1939,Seq_5281,Seq_2121,Seq_2362,Seq_2987
s_1568	zymosterol	cell envelope	3.1849	0.00072407	5	11.799	7.1576	Seq_1939,Seq_1439,Seq_2121,Seq_2362,Seq_2987
s_0963	L-arabinose	cytoplasm	3.1473	0.00082392	5	11.6798	7.4241	Seq_1183,Seq_2193,Seq_4936,Seq_3482,Seq_4254
s_0232	3-methyl-2-oxobutanoate	cytoplasm	3.1113	0.00093122	5	11.5658	7.6791	Seq_3511,Seq_584,Seq_1942,Seq_5169,Seq_2712
s_0410	alpha-D-galactose 1-phosphate	cytoplasm	2.8532	0.002164	3	13.401	2.7696	Seq_3460,Seq_1935,Seq_4294
s_0185	2-phenylethanol	cytoplasm	2.8432	0.0022333	6	9.9329	7.8776	Seq_461,Seq_594,Seq_1427,Seq_4456,Seq_4855,Seq_5413
s_1569	zymosterol	cytoplasm	2.7802	0.0027165	6	9.7507	8.1395	Seq_1939,Seq_3959,Seq_829,Seq_2121,Seq_2362,Seq_2987
s_0700	fecosterol	cytoplasm	2.7777	0.0027369	6	9.7437	8.1509	Seq_1939,Seq_829,Seq_252,Seq_2121,Seq_2362,Seq_2987
s_0553	D-fructose	cytoplasm	2.7698	0.0028041	11	7.6069	8.501	Seq_4642,Seq_1183,Seq_2189,Seq_1160,Seq_4006,Seq_758,Seq_5357,Seq_2923,Seq_5493,Seq_4936,Seq_4728
s_0924	iron(2+)	cytoplasm	2.7679	0.0028208	16	6.6163	7.7308	Seq_1403,Seq_1364,Seq_1445,Seq_467,Seq_405,Seq_1292,Seq_3248,Seq_5300,Seq_2478,Seq_2575,Seq_3014,Seq_3415,Seq_4473,Seq_4781,Seq_4832,Seq_5327
s_0548	D-arabinose	cytoplasm	2.7479	0.0029994	6	9.6573	8.2848	Seq_1183,Seq_2193,Seq_2297,Seq_4936,Seq_3482,Seq_4254
s_0680	ethanol	cytoplasm	2.7225	0.0032393	4	11.3646	7.2708	Seq_1427,Seq_687,Seq_4855,Seq_5413
s_0359	acetaldehyde	cytoplasm	2.7113	0.0033514	11	7.4818	7.4356	Seq_3511,Seq_288,Seq_3997,Seq_1427,Seq_3263,Seq_5250,Seq_1952,Seq_5169,Seq_4744,Seq_4855,Seq_5413
s_0570	D-glyceraldehyde	cytoplasm	2.7032	0.0034342	8	8.4775	7.3318	Seq_2193,Seq_4943,Seq_1351,Seq_5250,Seq_4948,Seq_5221,Seq_3482,Seq_4254
s_1007	L-histidine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1017	L-isoleucine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1022	L-leucine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1033	L-phenylalanine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1046	L-threonine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1049	L-tryptophan	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1052	L-tyrosine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1057	L-valine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1418	S-adenosyl-L-methionine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1424	S-methyl-L-methionine	cytoplasm	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1425	S-methyl-L-methionine	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_4166	L-citrulline	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_4202	Mn(2+)	extracellular	2.6943	0.0035273	6	9.5024	7.6914	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0571	D-mannose	cytoplasm	2.6651	0.0038483	4	11.1609	7.6783	Seq_4642,Seq_1183,Seq_1160,Seq_4936
s_0361	acetaldehyde	mitochondrion	2.6617	0.0038869	4	11.149	7.7021	Seq_3997,Seq_1427,Seq_4855,Seq_5413
s_0852	indol-3-ylacetaldehyde	mitochondrion	2.6617	0.0038869	4	11.149	7.7021	Seq_3997,Seq_1427,Seq_4855,Seq_5413
s_0134	2'-deoxyguanosine	cytoplasm	2.6591	0.0039175	2	15	0	Seq_573,Seq_1067
s_0139	2'-deoxyuridine	extracellular	2.6591	0.0039175	2	15	0	Seq_1897,Seq_2089
s_0183	2-oxoglutarate	nucleus	2.6591	0.0039175	2	15	0	Seq_885,Seq_3410
s_0350	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid	mitochondrion	2.6591	0.0039175	2	15	0	Seq_4899,Seq_2417
s_0366	acetate	nucleus	2.6591	0.0039175	2	15	0	Seq_924,Seq_5400
s_0406	allantoate	extracellular	2.6591	0.0039175	2	15	0	Seq_1784,Seq_5359
s_0408	allantoin	extracellular	2.6591	0.0039175	2	15	0	Seq_1897,Seq_2089
s_0452	biotin	extracellular	2.6591	0.0039175	2	15	0	Seq_2457,Seq_4649
s_0516	cis-aconitate	cytoplasm	2.6591	0.0039175	2	15	0	Seq_194,Seq_5163
s_0517	cis-aconitate	mitochondrion	2.6591	0.0039175	2	15	0	Seq_194,Seq_5163
s_0549	D-arabinose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_0552	D-erythrose 4-phosphate	mitochondrion	2.6591	0.0039175	2	15	0	Seq_4899,Seq_2417
s_0562	D-glucitol	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_0572	D-mannose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_0576	D-ribose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_0579	D-xylose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_0610	deoxycytidine	cytoplasm	2.6591	0.0039175	2	15	0	Seq_573,Seq_1067
s_0684	ethanolamine	extracellular	2.6591	0.0039175	2	15	0	Seq_4958,Seq_5123
s_0724	formate	mitochondrion	2.6591	0.0039175	2	15	0	Seq_1816,Seq_4775
s_0781	glyoxylate	peroxisome	2.6591	0.0039175	2	15	0	Seq_1577,Seq_2236
s_0835	homocitrate	nucleus	2.6591	0.0039175	2	15	0	Seq_885,Seq_3410
s_0925	iron(2+)	extracellular	2.6591	0.0039175	2	15	0	Seq_1364,Seq_2478
s_0942	isocitrate	peroxisome	2.6591	0.0039175	2	15	0	Seq_4931,Seq_4932
s_0964	L-arabinose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_0990	L-glucitol	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_1044	L-sorbose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_1493	thymidine	cytoplasm	2.6591	0.0039175	2	15	0	Seq_573,Seq_1067
s_1551	uracil	extracellular	2.6591	0.0039175	2	15	0	Seq_1897,Seq_2089
s_1557	uridine	extracellular	2.6591	0.0039175	2	15	0	Seq_1897,Seq_2089
s_1563	xanthosine	cytoplasm	2.6591	0.0039175	2	15	0	Seq_573,Seq_1067
s_1567	xylitol	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_3999	Isomaltose	cytoplasm	2.6591	0.0039175	2	15	0	Seq_758,Seq_4728
s_4000	Dextrin	cytoplasm	2.6591	0.0039175	2	15	0	Seq_758,Seq_4728
s_4024	Starch	cytoplasm	2.6591	0.0039175	2	15	0	Seq_758,Seq_4728
s_4128	D-tagatose	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_4130	D-tagatose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_4165	2-deoxy-D-ribose	extracellular	2.6591	0.0039175	2	15	0	Seq_1183,Seq_4936
s_4251	all-trans-retinol	cytoplasm	2.6591	0.0039175	2	15	0	Seq_292,Seq_3864
s_4352	all-trans-retinal	cytoplasm	2.6591	0.0039175	2	15	0	Seq_292,Seq_3864
s_4356	5-hydroxyferuloyl-CoA	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4357	sinapoyl-CoA	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4358	caffeoyl-CoA	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4359	feruloyl-CoA	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4402	D-aspartate	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1137,Seq_2293
s_4416	(E)-sinapoyl aldehyde	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4418	(E)-coniferyl aldehyde	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4443	(E)-4-coumaraldehyde	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4444	4-coumaroyl-CoA	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4463	(E)-5-hydroxyconiferaldehyde	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_4553	(E)-caffeyl aldehyde	cytoplasm	2.6591	0.0039175	2	15	0	Seq_1298,Seq_5458
s_0001	(1->3)-beta-D-glucan	cell envelope	2.6561	0.0039528	4	11.1288	7.7423	Seq_339,Seq_3713,Seq_3940,Seq_5235
s_0992	L-glutamate	extracellular	2.6249	0.0043336	10	7.5919	7.3893	Seq_21,Seq_1561,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339
s_0559	D-galactose	extracellular	2.6213	0.0043801	3	12.4497	4.4172	Seq_847,Seq_1183,Seq_4936
s_0657	episterol	cytoplasm	2.6026	0.0046266	6	9.2372	8.948	Seq_1939,Seq_354,Seq_252,Seq_2121,Seq_2362,Seq_2987
s_0929	isoamylol	cytoplasm	2.5748	0.0050151	7	8.5794	8.0335	Seq_461,Seq_594,Seq_1427,Seq_687,Seq_4456,Seq_4855,Seq_5413
s_0932	isobutanol	cytoplasm	2.5748	0.0050151	7	8.5794	8.0335	Seq_461,Seq_594,Seq_1427,Seq_687,Seq_4456,Seq_4855,Seq_5413
s_0306	5,10-methylenetetrahydrofolate	cytoplasm	2.5536	0.0053307	8	8.1029	7.4458	Seq_1816,Seq_1741,Seq_5278,Seq_4567,Seq_5290,Seq_489,Seq_4775,Seq_2799
s_3936	iron(3+)	extracellular	2.5315	0.0056795	11	7.0979	7.6742	Seq_1445,Seq_467,Seq_405,Seq_1292,Seq_2575,Seq_3014,Seq_3415,Seq_4473,Seq_4781,Seq_4832,Seq_5327
s_1556	uridine	cytoplasm	2.5131	0.0059837	8	8.0015	7.5035	Seq_1897,Seq_3773,Seq_3120,Seq_3438,Seq_1701,Seq_573,Seq_2089,Seq_1067
s_1059	lanosterol	cytoplasm	2.455	0.0070441	7	8.2596	8.4113	Seq_2221,Seq_3928,Seq_1878,Seq_1939,Seq_2121,Seq_2362,Seq_2987
s_0580	D-xylulose	cytoplasm	2.4523	0.0070972	4	10.4058	6.0065	Seq_2242,Seq_2189,Seq_2572,Seq_2552
s_0062	(S)-lactaldehyde	cytoplasm	2.4433	0.0072759	6	8.7769	7.4403	Seq_2193,Seq_3982,Seq_369,Seq_3482,Seq_4254,Seq_5269
s_0974	L-aspartate	extracellular	2.4423	0.0072966	11	6.9076	7.3684	Seq_2889,Seq_21,Seq_1561,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339
s_0132	2'-deoxyadenosine	cytoplasm	2.4332	0.007483	3	11.6784	5.7532	Seq_950,Seq_573,Seq_1067
s_0966	L-arginine	extracellular	2.4267	0.0076177	7	8.1841	7.8398	Seq_21,Seq_2822,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1026	L-lysine	extracellular	2.4267	0.0076177	7	8.1841	7.8398	Seq_21,Seq_2822,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1267	ornithine	extracellular	2.4267	0.0076177	7	8.1841	7.8398	Seq_21,Seq_2822,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0982	L-cysteine	extracellular	2.4199	0.0077631	7	8.1658	7.8615	Seq_21,Seq_4610,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1041	L-serine	extracellular	2.3894	0.0084387	11	6.7945	7.4924	Seq_21,Seq_1561,Seq_1368,Seq_3270,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339
s_1541	UDP-D-galactose	cytoplasm	2.3742	0.0087946	4	10.1285	6.9245	Seq_3460,Seq_2479,Seq_1064,Seq_3332
s_0307	5,10-methylenetetrahydrofolate	mitochondrion	2.3523	0.0093288	9	7.2549	7.6187	Seq_3000,Seq_1816,Seq_3519,Seq_1741,Seq_5046,Seq_5119,Seq_1684,Seq_4775,Seq_2799
s_3107	L-serine	endoplasmic reticulum membrane	2.3481	0.0094338	7	7.9743	8.102	Seq_21,Seq_3269,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0971	L-asparagine	mitochondrion	2.3374	0.0097097	7	7.9455	8.1402	Seq_4439,Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_1006	L-histidine	cytoplasm	2.3267	0.009991	15	5.9494	9.3676	Seq_942,Seq_801,Seq_2876,Seq_21,Seq_723,Seq_4317,Seq_37,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_4194,Seq_4675,Seq_4691
s_1391	putrescine	vacuole	2.3116	0.010401	3	11.1796	6.6172	Seq_932,Seq_3882,Seq_1077
s_1441	spermidine	vacuole	2.3116	0.010401	3	11.1796	6.6172	Seq_932,Seq_3882,Seq_1077
s_3951	alpha-D-Glucose	cytoplasm	2.2999	0.010727	4	9.865	7.2392	Seq_1160,Seq_758,Seq_1122,Seq_4728
s_3830	RX	endoplasmic reticulum	2.2903	0.011003	3	11.0922	6.7686	Seq_1026,Seq_4113,Seq_4819
s_3831	glutathione	endoplasmic reticulum	2.2903	0.011003	3	11.0922	6.7686	Seq_1026,Seq_4113,Seq_4819
s_3832	HX	endoplasmic reticulum	2.2903	0.011003	3	11.0922	6.7686	Seq_1026,Seq_4113,Seq_4819
s_3833	R-S-glutathione	endoplasmic reticulum	2.2903	0.011003	3	11.0922	6.7686	Seq_1026,Seq_4113,Seq_4819
s_1000	L-glutamine	extracellular	2.2862	0.011121	8	7.4332	7.5466	Seq_21,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448
