rxns	rxnNames	formulas	grRules	subSystems	leloir	oxi_red_path	FC
r_0301	citrate synthase, peroxisomal	acetyl-CoA[p] + H2O[p] + oxaloacetate[p] => citrate[p] + coenzyme A[p] + H+[p]	Candida_intermedia@Seq_3526	sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	0	0.000159631658190704	159632.658190704
r_1689	citrate/malate antiport	(S)-malate[c] + citrate[p] <=> (S)-malate[p] + citrate[c]			0	0.000159631658190704	159632.658190704
r_2098	water diffusion	H2O[c] <=> H2O[p]			0	0.000159631658190704	159632.658190704
r_0256	catalase	2 hydrogen peroxide[p] => 2 H2O[p] + oxygen[p]	Candida_intermedia@Seq_5520	sce00380  Tryptophan metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce04011  MAPK signaling pathway - yeast // sce04146  Peroxisome // sce04213  Longevity regulating pathway - multiple species	0	6.98388504584329e-05	69839.8504584329
r_1980	O2 transport	oxygen[c] <=> oxygen[p]			0	6.98388504584329e-05	69839.8504584329
r_2386	diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), ER membrane	stearoyl-CoA[erm] + diglyceride (1-16:1, 2-16:1)[erm] => coenzyme A[erm] + triglyceride (1-16:1, 2-16:1, 3-18:0)[erm]	Candida_intermedia@Seq_4218 or Candida_intermedia@Seq_1107	sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism	0	5.61093617947577e-05	56110.3617947577
r_4024	triglyceride (1-16:1, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	triglyceride (1-16:1, 2-16:1, 3-18:0)[erm] => 0.83136 triglyceride backbone[erm] + 0.50883 C16:1 chain[c] + 0.28448 C18:0 chain[c]			0	5.61093617947577e-05	56110.3617947577
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	3-oxopalmitoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + myristoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	3-oxotetradecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + lauroyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	3-oxodecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + octanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	3-oxolauroyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + decanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0120	acyl-CoA oxidase (decanoyl-CoA)	decanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	lauroyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	oxygen[p] + palmitoyl-CoA[p] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	myristoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_0402	fatty-acid--CoA ligase (hexadecanoate)	ATP[p] + coenzyme A[p] + palmitate[p] <=> AMP[p] + diphosphate[p] + palmitoyl-CoA[p]	Candida_intermedia@Seq_2834 or Candida_intermedia@Seq_945	sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_2236	acyl-CoA oxidase (butanoyl-CoA)	oxygen[p] + butanoyl-CoA[p] => hydrogen peroxide[p] + but-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_2237	acyl-CoA oxidase (hexanoyl-CoA)	oxygen[p] + hexanoyl-CoA[p] => hydrogen peroxide[p] + trans-hex-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_2238	acyl-CoA oxidase (octanoyl-CoA)	octanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-oct-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_2248	2-enoyl-CoA hydratase (3-hydroxydecanoyl-CoA)	H2O[p] + trans-dec-2-enoyl-CoA[p] => (R)-3-hydroxydecanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2249	2-enoyl-CoA hydratase (3-hydroxydodecanoyl-CoA)	H2O[p] + trans-dodec-2-enoyl-CoA[p] => (R)-3-hydroxylauroyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2250	2-enoyl-CoA hydratase (3-hydroxytetradecanoyl-CoA)	H2O[p] + trans-tetradec-2-enoyl-CoA[p] => (S)-3-hydroxytetradecanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2251	2-enoyl-CoA hydratase (3-hydroxyhexadecanoyl-CoA)	H2O[p] + hexadec-2-enoyl-CoA[p] => (S)-3-hydroxypalmitoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2254	2-enoyl-CoA hydratase (3-hydroxybutanoyl-CoA)	H2O[p] + but-2-enoyl-CoA[p] => (R)-3-hydroxybutanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2255	2-enoyl-CoA hydratase (3-hydroxyhexanoyl-CoA)	H2O[p] + trans-hex-2-enoyl-CoA[p] => (R)-3-hydroxyhexanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2256	2-enoyl-CoA hydratase (3-hydroxyoctanoyl-CoA)	H2O[p] + trans-oct-2-enoyl-CoA[p] => (R)-3-hydroxyoctanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2266	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(R)-3-hydroxydecanoyl-CoA[p] + NAD[p] => 3-oxodecanoyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2267	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	(R)-3-hydroxylauroyl-CoA[p] + NAD[p] => 3-oxolauroyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2268	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	(S)-3-hydroxypalmitoyl-CoA[p] + NAD[p] => 3-oxopalmitoyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2271	3-hydroxyacyl-CoA dehydrogenase (3-oxobutanoyl-CoA)	NAD[p] + (R)-3-hydroxybutanoyl-CoA[p] => H+[p] + NADH[p] + acetoacetyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2272	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	NAD[p] + (R)-3-hydroxyhexanoyl-CoA[p] => H+[p] + NADH[p] + 3-oxohexanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2273	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	NAD[p] + (R)-3-hydroxyoctanoyl-CoA[p] => H+[p] + NADH[p] + 3-oxooctanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	1.9953957273838e-05	19954.957273838
r_2283	acetyl-CoA C-acyltransferase (acetyl-CoA)	coenzyme A[p] + acetoacetyl-CoA[p] => 2 acetyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_2284	acetyl-CoA C-acyltransferase (butanoyl-CoA)	coenzyme A[p] + 3-oxohexanoyl-CoA[p] => acetyl-CoA[p] + butanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_2285	acetyl-CoA C-acyltransferase (hexanoyl-CoA)	coenzyme A[p] + 3-oxooctanoyl-CoA[p] => acetyl-CoA[p] + hexanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	1.9953957273838e-05	19954.957273838
r_1116	AMP/ATP transporter	AMP[p] + ATP[c] + H+[p] => AMP[c] + ATP[p] + H+[c]	Candida_intermedia@Seq_1998		0	1.9953957273838e-05	19954.957273838
r_1774	fatty acid transport	palmitate[c] <=> palmitate[p]	Candida_intermedia@Seq_200 and Candida_intermedia@Seq_3237		0	1.9953957273838e-05	19954.957273838
r_0152	adenylosuccinate lyase	adenylo-succinate[c] <=> AMP[c] + fumarate[c]	Candida_intermedia@Seq_5428	sce00230  Purine metabolism // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	0.0264110974509464	0.179183099030539	6.78438650945693
r_0153	adenylosuccinate synthase	GTP[c] + IMP[c] + L-aspartate[c] => adenylo-succinate[c] + GDP[c] + 2 H+[c] + phosphate[c]	Candida_intermedia@Seq_641	sce00230  Purine metabolism // sce00250  Alanine, aspartate and glutamate metabolism	0.0264110974509464	0.179183099030539	6.78438650945693
r_1050	transketolase 2	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] <=> D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]	Candida_intermedia@Seq_4796 or Candida_intermedia@Seq_953	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.119258213163043	0.660413488802368	5.53767716913393
r_0984	ribulose 5-phosphate 3-epimerase	D-ribulose 5-phosphate[c] <=> D-xylulose 5-phosphate[c]	Candida_intermedia@Seq_5197	sce00030  Pentose phosphate pathway // sce00040  Pentose and glucuronate interconversions // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.3026746131389	1.38087846760214	4.56225399850826
r_1049	transketolase 1	D-xylulose 5-phosphate[c] + ribose-5-phosphate[c] <=> glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]	Candida_intermedia@Seq_4796 or Candida_intermedia@Seq_953	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.183416399975857	0.720464978799771	3.92802920549404
r_0091	6-phosphogluconolactonase	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] => 6-phospho-D-gluconate[c] + H+[c]	Candida_intermedia@Seq_4019	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0.552416243317289	2.16342326966286	3.91629191378424
r_0466	glucose 6-phosphate dehydrogenase	D-glucose 6-phosphate[c] + NADP(+)[c] => 6-O-phosphono-D-glucono-1,5-lactone[c] + H+[c] + NADPH[c]	Candida_intermedia@Seq_5467	sce00030  Pentose phosphate pathway // sce00480  Glutathione metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0.552416243317289	2.16342326966286	3.91629191378424
r_0889	phosphogluconate dehydrogenase	6-phospho-D-gluconate[c] + NADP(+)[c] => carbon dioxide[c] + D-ribulose 5-phosphate[c] + NADPH[c]	Candida_intermedia@Seq_533	sce00030  Pentose phosphate pathway // sce00480  Glutathione metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0.552416243317289	2.16342326966286	3.91629191378424
r_0887	phosphofructokinase (s7p)	ATP[c] + sedoheptulose 7-phosphate[c] => ADP[c] + H+[c] + sedoheptulose 1,7-bisphosphate[c]	Candida_intermedia@Seq_1807 or Candida_intermedia@Seq_4965	Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation	0.183416399975857	0.701962240893154	3.82715088813434
r_0990	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	sedoheptulose 1,7-bisphosphate[c] <=> D-erythrose 4-phosphate[c] + dihydroxyacetone phosphate[c]	Candida_intermedia@Seq_4943	Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.183416399975857	0.701962240893154	3.82715088813434
r_0982	ribose-5-phosphate isomerase	D-ribulose 5-phosphate[c] <=> ribose-5-phosphate[c]	Candida_intermedia@Seq_2675	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.249741630178389	0.782544802060718	3.13341752181377
r_0974	ribonucleotide reductase	ADP[c] + TRX1[c] => dADP[c] + H2O[c] + TRX1 disulphide[c]	Candida_intermedia@Seq_3645 or Candida_intermedia@Seq_893 or Candida_intermedia@Seq_916	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00480  Glutathione metabolism	0.000268147059684445	0.000752949858246586	2.80796683419099
r_4460	Pyrophosphate transport in via proton symport	2 H+[e] + diphosphate[e] <=> diphosphate[c] + 2 H+[c]			-0.763607186971552	-1.56011058692665	2.04308002149258
r_4527	diphosphate exchange	diphosphate[e] => 			0.763607186971552	1.56011058692665	2.0430800187606
r_2005	phosphate exchange	phosphate[e] <=> 			-1.57475368848316	-3.16471754779095	2.00965876247538
r_1244	phosphate transport	H+[e] + phosphate[e] <=> H+[c] + phosphate[c]	Candida_intermedia@Seq_2258 or Candida_intermedia@Seq_3831 or Candida_intermedia@Seq_4525 or Candida_intermedia@Seq_4851		1.57475368848316	3.16471754779095	2.00965876119307
r_0800	nucleoside diphosphate kinase	ATP[c] + GDP[c] => ADP[c] + GTP[c]	Candida_intermedia@Seq_3420	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	0.193030066292736	0.335136966149209	1.73619049016319
r_4262	citrate hydroxymutase	citrate[m] <=> isocitrate[m]	Candida_intermedia@Seq_194 or Candida_intermedia@Seq_5163		0.182886033085201	0.264485849005826	1.44617849760256
r_0958	pyruvate carboxylase	ATP[c] + bicarbonate[c] + pyruvate[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]	Candida_intermedia@Seq_4242	sce00020  Citrate cycle (TCA cycle) // sce00620  Pyruvate metabolism // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.311209158708708	0.446050850805229	1.43328317271488
r_0216	aspartate transaminase	2-oxoglutarate[c] + L-aspartate[c] <=> L-glutamate[c] + oxaloacetate[c]	Candida_intermedia@Seq_4704 or Candida_intermedia@Seq_985	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	-0.311209158708708	-0.445751541446122	1.43232141280156
r_1667	bicarbonate formation	carbon dioxide[c] + H2O[c] <=> bicarbonate[c] + H+[c]	Candida_intermedia@Seq_4803		0.454829283601849	0.580617683042308	1.27656178636469
r_2465	PS decarboxylase (1-16:1, 2-16:1), mitochondrial membrane	H+[mm] + phosphatidyl-L-serine (1-16:1, 2-16:1)[mm] => carbon dioxide[mm] + phosphatidylethanolamine (1-16:1, 2-16:1)[mm]	Candida_intermedia@Seq_2132	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0.000694542554128902	0.000837883944513118	1.20638214771714
r_3766	phosphatidyl-L-serine (1-16:1, 2-16:1) transport, ER membrane-mitochondrial membrane	phosphatidyl-L-serine (1-16:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:1, 2-16:1)[mm]			0.000694542554128902	0.000837883944513118	1.20638214771714
r_3774	phosphatidylethanolamine (1-16:1, 2-16:1) transport, mitochondrial membrane-ER membrane	phosphatidylethanolamine (1-16:1, 2-16:1)[mm] <=> phosphatidylethanolamine (1-16:1, 2-16:1)[erm]			0.000694542554128902	0.000837883944513118	1.20638214771714
r_1672	carbon dioxide exchange	carbon dioxide[e] => 			3.68169704723067	4.21414270916049	1.14461962919673
r_1697	CO2 transport	carbon dioxide[c] <=> carbon dioxide[e]			3.68169704723067	4.21414270916049	1.14461962919673
r_1245	phosphate transport	H+[c] + phosphate[c] => H+[m] + phosphate[m]	Candida_intermedia@Seq_348 or Candida_intermedia@Seq_191		12.1009758841242	13.8020823126713	1.14057597045857
r_2333	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), ER membrane	oleoyl-CoA[erm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[erm] => coenzyme A[erm] + phosphatidate (1-16:0, 2-18:1)[erm]	Candida_intermedia@Seq_465	sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0.00121491809151301	0.00132495080114495	1.09056793197225
r_2436	CDP-diacylglycerol synthase (1-16:0, 2-18:1), ER membrane	H+[erm] + phosphatidate (1-16:0, 2-18:1)[erm] + CTP[erm] <=> diphosphate[erm] + CDP-diacylglycerol (1-16:0, 2-18:1)[erm]	Candida_intermedia@Seq_2170	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	0.00121491809151301	0.00132495080114495	1.09056793197225
